Bigram                        		Count          		Probabiltites
which pleaded                 		2.0            		3.5379446E-4
pleaded innocent              		2.0            		3.5669698E-4
innocent to                   		2.0            		3.5669698E-4
to the                        		86.0           		0.013749001
the charges                   		2.0            		2.8425243E-4
charges .                     		2.0            		3.565698E-4
. J.                          		2.0            		3.028009E-4
J. Michael                    		2.0            		3.5511365E-4
Michael Cook                  		2.0            		3.5593522E-4
Cook ,                        		2.0            		3.5669698E-4
, chairman                    		188.0          		0.02463958
chairman of                   		226.0          		0.036688313
of Deloitte                   		2.0            		3.056235E-4
Deloitte ,                    		2.0            		3.5669698E-4
, Haskins                     		2.0            		2.621232E-4
Haskins &                     		2.0            		3.5669698E-4
& Sells                       		2.0            		3.5423308E-4
Sells International           		2.0            		3.565698E-4
International ,               		2.0            		3.5599858E-4
, said                        		101.0          		0.013237221
said he                       		22.0           		0.0037370478
he believes                   		2.0            		3.5137034E-4
believes the                  		2.0            		3.5669698E-4
the legal                     		2.0            		2.8425243E-4
legal action                  		3.0            		5.3447357E-4
action by                     		2.0            		3.5650624E-4
by the                        		44.0           		0.00766417
the British                   		6.0            		8.5275725E-4
British firm                  		2.0            		3.558719E-4
firm ``                       		2.0            		3.549246E-4
`` to                         		5.0            		8.5411686E-4
to be                         		29.0           		0.004636291
be without                    		2.0            		3.500175E-4
without merit                 		2.0            		3.5650624E-4
merit .                       		2.0            		3.5669698E-4
. ''                          		65.0           		0.0098410295
'' Other                      		2.0            		3.4211428E-4
Other conservatives           		2.0            		3.5650624E-4
conservatives thought         		2.0            		3.5669698E-4
thought to                    		3.0            		5.348547E-4
to be                         		29.0           		0.004636291
be on                         		3.0            		5.2502623E-4
on the                        		66.0           		0.011466296
the administration            		3.0            		4.2637862E-4
administration 's             		2.0            		3.5606197E-4
's short                      		2.0            		3.338341E-4
short list                    		2.0            		3.566334E-4
list include                  		2.0            		3.566334E-4
include Washington            		2.0            		3.563157E-4
Washington lawyer             		2.0            		3.563792E-4
lawyer Michael                		2.0            		3.5669698E-4
Michael Uhlmann               		2.0            		3.5593522E-4
Uhlmann ,                     		2.0            		3.5669698E-4
, who                         		64.0           		0.008387943
who was                       		11.0           		0.0019284713
was passed                    		2.0            		3.459609E-4
passed over                   		2.0            		3.566334E-4
over for                      		2.0            		3.554292E-4
for the                       		41.0           		0.007115585
the No.                       		2.0            		2.8425243E-4
No. 2                         		2.0            		3.5669698E-4
2 job                         		2.0            		3.563157E-4
job at                        		2.0            		3.564427E-4
at the                        		29.0           		0.0050823693
the Justice                   		2.0            		2.8425243E-4
Justice Department            		2.0            		3.5669698E-4
Department ,                  		2.0            		3.565698E-4
, and                         		89.0           		0.011664483
and Marshall                  		2.0            		3.1831927E-4
Marshall Breger               		2.0            		3.5650624E-4
Breger ,                      		2.0            		3.5669698E-4
, chairman                    		188.0          		0.02463958
chairman of                   		226.0          		0.036688313
of a                          		26.0           		0.003973105
a U.S.                        		2.0            		3.2320622E-4
U.S. agency                   		2.0            		3.558719E-4
agency on                     		2.0            		3.558719E-4
on administration             		2.0            		3.4746353E-4
administration .              		3.0            		5.3409295E-4
. The                         		122.0          		0.018470855
The new                       		5.0            		8.683571E-4
new products                  		2.0            		3.5260932E-4
products allow                		2.0            		3.5593522E-4
allow customers               		2.0            		3.565698E-4
customers to                  		2.0            		3.563792E-4
to add                        		2.0            		3.197442E-4
add Convex                    		2.0            		3.566334E-4
Convex machines               		2.0            		3.566334E-4
machines to                   		2.0            		3.5669698E-4
to established                		2.0            		3.197442E-4
established systems           		2.0            		3.565698E-4
systems made                  		2.0            		3.564427E-4
made by                       		2.0            		3.5555556E-4
by other                      		2.0            		3.4837137E-4
other manufacturers           		2.0            		3.5454705E-4
manufacturers ,               		2.0            		3.5669698E-4
, which                       		38.0           		0.0049803406
which ``                      		2.0            		3.5379446E-4
`` opens                      		2.0            		3.4164675E-4
opens up                      		2.0            		3.5669698E-4
up a                          		3.0            		5.321036E-4
a phenomenal                  		2.0            		3.2320622E-4
phenomenal market             		2.0            		3.5669698E-4
market for                    		2.0            		3.5391966E-4
for us                        		6.0            		0.0010413051
us ,                          		4.0            		7.1237754E-4
, ''                          		116.0          		0.015203145
'' said                       		49.0           		0.0083818
said Robert                   		6.0            		0.0010191948
Robert J.                     		3.0            		5.313496E-4
J. Paluck                     		2.0            		3.5511365E-4
Paluck ,                      		2.0            		3.5669698E-4
, Convex                      		2.0            		2.621232E-4
Convex 's                     		2.0            		3.566334E-4
's chairman                   		67.0           		0.011183442
chairman ,                    		93.0           		0.015097403
, president                   		36.0           		0.0047182175
president and                 		46.0           		0.008075843
and chief                     		158.0          		0.025147222
chief executive               		165.0          		0.028467909
executive .                   		11.0           		0.0018981881
. Wilson                      		2.0            		3.028009E-4
Wilson H.                     		2.0            		3.5669698E-4
H. Taylor                     		2.0            		3.5606197E-4
Taylor ,                      		6.0            		0.0010683761
, president                   		36.0           		0.0047182175
president and                 		46.0           		0.008075843
and chief                     		158.0          		0.025147222
chief executive               		165.0          		0.028467909
executive officer             		115.0          		0.019844694
officer of                    		47.0           		0.008186727
of this                       		54.0           		0.008251834
this insurance                		4.0            		7.021239E-4
insurance and                 		2.0            		3.5625222E-4
and financial                 		5.0            		7.957982E-4
financial services            		3.0            		5.3295435E-4
services concern              		6.0            		0.0010678057
concern ,                     		10.0           		0.0017777778
, was                         		52.0           		0.006815203
was elected                   		20.0           		0.003459609
elected to                    		13.0           		0.0023045558
to the                        		86.0           		0.013749001
the additional                		11.0           		0.0015633883
additional post               		5.0            		8.8936323E-4
post of                       		8.0            		0.0014229811
of chairman                   		12.0           		0.0018337409
chairman .                    		38.0           		0.006168831
. The                         		122.0          		0.018470855
The Fed                       		3.0            		5.2101427E-4
Fed chairman                  		5.0            		8.888889E-4
chairman 's                   		11.0           		0.0017857143
's caution                    		2.0            		3.338341E-4
caution was                   		2.0            		3.5669698E-4
was apparent                  		2.0            		3.459609E-4
apparent again                		2.0            		3.565698E-4
again on                      		2.0            		3.565698E-4
on the                        		66.0           		0.011466296
the Monday                    		2.0            		2.8425243E-4
Monday morning                		3.0            		5.3409295E-4
morning after                 		2.0            		3.5625222E-4
after the                     		8.0            		0.0014199503
the market                    		14.0           		0.001989767
market 's                     		5.0            		8.8479917E-4
's plunge                     		2.0            		3.338341E-4
plunge ,                      		2.0            		3.566334E-4
, when                        		12.0           		0.0015727392
when the                      		7.0            		0.0012424565
the central                   		4.0            		5.6850485E-4
central bank                  		4.0            		7.130125E-4
bank took                     		2.0            		3.549246E-4
took only                     		2.0            		3.5599858E-4
only modest                   		2.0            		3.557453E-4
modest steps                  		2.0            		3.563792E-4
steps to                      		2.0            		3.564427E-4
to aid                        		2.0            		3.197442E-4
aid the                       		2.0            		3.565698E-4
the markets                   		4.0            		5.6850485E-4
markets .                     		4.0            		7.1199716E-4
. Cipher                      		2.0            		3.028009E-4
Cipher Data                   		2.0            		3.5669698E-4
Data said                     		2.0            		3.5669698E-4
said Mr.                      		13.0           		0.0022082555
Mr. Marinaro                  		2.0            		3.4578147E-4
Marinaro consequently         		2.0            		3.5669698E-4
consequently has              		2.0            		3.5669698E-4
has resigned                  		2.0            		3.511236E-4
resigned from                 		3.0            		5.3342816E-4
from those                    		2.0            		3.5161743E-4
those posts                   		5.0            		8.8983803E-4
posts and                     		2.0            		3.563157E-4
and from                      		2.0            		3.1831927E-4
from the                      		23.0           		0.0040436005
the company                   		85.0           		0.012080728
company 's                    		43.0           		0.007474361
's board                      		49.0           		0.008178935
board .                       		58.0           		0.009711989
. Most                        		3.0            		4.5420136E-4
Most notably                  		2.0            		3.566334E-4
notably ,                     		2.0            		3.5650624E-4
, several                     		3.0            		3.931848E-4
several of                    		2.0            		3.563157E-4
of the                        		267.0          		0.040800735
the regulatory                		2.0            		2.8425243E-4
regulatory steps              		2.0            		3.566334E-4
steps recommended             		2.0            		3.564427E-4
recommended by                		2.0            		3.5669698E-4
by the                        		44.0           		0.00766417
the Brady                     		2.0            		2.8425243E-4
Brady Task                    		2.0            		3.5599858E-4
Task Force                    		3.0            		5.3495006E-4
Force ,                       		3.0            		5.3495006E-4
, which                       		38.0           		0.0049803406
which analyzed                		2.0            		3.5379446E-4
analyzed the                  		3.0            		5.3495006E-4
the 1987                      		4.0            		5.6850485E-4
1987 crash                    		4.0            		7.1237754E-4
crash ,                       		2.0            		3.5650624E-4
, would                       		9.0            		0.0011795544
would be                      		22.0           		0.003865074
be revived                    		2.0            		3.500175E-4
revived --                    		2.0            		3.5669698E-4
-- especially                 		2.0            		3.5511365E-4
especially because            		2.0            		3.563157E-4
because that                  		2.0            		3.554292E-4
that group                    		3.0            		5.1168347E-4
group 's                      		6.0            		0.0010619469
's chairman                   		67.0           		0.011183442
chairman is                   		5.0            		8.116883E-4
is now                        		2.0            		3.4524425E-4
now the                       		3.0            		5.3371285E-4
the Treasury                  		8.0            		0.0011370097
Treasury secretary            		2.0            		3.5599858E-4
secretary .                   		2.0            		3.563792E-4
. Mr.                         		68.0           		0.010295231
Mr. Gaubert                   		2.0            		3.4578147E-4
Gaubert ,                     		2.0            		3.5669698E-4
, who                         		64.0           		0.008387943
who was                       		11.0           		0.0019284713
was chairman                  		7.0            		0.0012108631
chairman and                  		141.0          		0.02288961
and the                       		41.0           		0.006525545
the majority                  		2.0            		2.8425243E-4
majority stockholder          		2.0            		3.5599858E-4
stockholder of                		2.0            		3.5669698E-4
of Independent                		3.0            		4.584352E-4
Independent American          		2.0            		3.566334E-4
American ,                    		2.0            		3.5536604E-4
, had                         		6.0            		7.863696E-4
had relinquished              		2.0            		3.5373188E-4
relinquished his              		2.0            		3.5669698E-4
his control                   		3.0            		5.276117E-4
control in                    		3.0            		5.3390284E-4
in exchange                   		2.0            		3.352892E-4
exchange for                  		2.0            		3.5593522E-4
for federal                   		2.0            		3.471017E-4
federal regulators            		3.0            		5.3380785E-4
regulators '                  		2.0            		3.5650624E-4
' agreement                   		2.0            		3.5536604E-4
agreement to                  		2.0            		3.5606197E-4
to drop                       		3.0            		4.796163E-4
drop their                    		2.0            		3.5618877E-4
their inquiry                 		2.0            		3.553029E-4
inquiry into                  		2.0            		3.565698E-4
into his                      		4.0            		7.1073207E-4
his activities                		2.0            		3.5174112E-4
activities at                 		2.0            		3.566334E-4
at another                    		2.0            		3.5050823E-4
another savings               		2.0            		3.558719E-4
savings and                   		3.0            		5.348547E-4
and loan                      		3.0            		4.774789E-4
loan .                        		2.0            		3.5650624E-4
. And                         		8.0            		0.0012112036
And Bill                      		2.0            		3.5625222E-4
Bill Konopnicki               		2.0            		3.565698E-4
Konopnicki ,                  		2.0            		3.5669698E-4
, a                           		69.0           		0.00904325
a Safford                     		2.0            		3.2320622E-4
Safford ,                     		2.0            		3.5669698E-4
, Ariz.                       		2.0            		2.621232E-4
Ariz. ,                       		2.0            		3.5669698E-4
, licensee                    		2.0            		2.621232E-4
licensee of                   		2.0            		3.5669698E-4
of McDonald                   		2.0            		3.056235E-4
McDonald 's                   		2.0            		3.5669698E-4
's Corp.                      		2.0            		3.338341E-4
Corp. who                     		3.0            		5.2947405E-4
who is                        		14.0           		0.002454418
is chairman                   		13.0           		0.0022440876
chairman of                   		226.0          		0.036688313
of the                        		267.0          		0.040800735
the company                   		85.0           		0.012080728
company 's                    		43.0           		0.007474361
's National                   		2.0            		3.338341E-4
National Operators            		2.0            		3.558086E-4
Operators Advisory            		2.0            		3.5669698E-4
Advisory Board                		3.0            		5.348547E-4
Board ,                       		4.0            		7.1123755E-4
, says                        		13.0           		0.0017038007
says some                     		2.0            		3.5323208E-4
some fast-food                		2.0            		3.553029E-4
fast-food outlets             		2.0            		3.565698E-4
outlets ``                    		2.0            		3.5669698E-4
`` could                      		2.0            		3.4164675E-4
could be                      		4.0            		7.1035343E-4
be in                         		2.0            		3.500175E-4
in serious                    		2.0            		3.352892E-4
serious trouble               		2.0            		3.565698E-4
trouble ,                     		2.0            		3.566334E-4
, based                       		2.0            		2.621232E-4
based on                      		3.0            		5.3475937E-4
on the                        		66.0           		0.011466296
the amount                    		3.0            		4.2637862E-4
amount of                     		3.0            		5.3495006E-4
of discounting                		2.0            		3.056235E-4
discounting that              		2.0            		3.566334E-4
that seems                    		2.0            		3.411223E-4
seems to                      		2.0            		3.5650624E-4
to be                         		29.0           		0.004636291
be going                      		2.0            		3.500175E-4
going on                      		2.0            		3.563157E-4
on .                          		3.0            		5.211953E-4
. ''                          		65.0           		0.0098410295
'' Richard                    		2.0            		3.4211428E-4
Richard Breeden               		3.0            		5.3314376E-4
Breeden ,                     		2.0            		3.566334E-4
, the                         		112.0          		0.014678899
the new                       		24.0           		0.003411029
new chairman                  		7.0            		0.0012341326
chairman of                   		226.0          		0.036688313
of the                        		267.0          		0.040800735
the SEC                       		4.0            		5.6850485E-4
SEC ,                         		2.0            		3.5625222E-4
, has                         		13.0           		0.0017038007
has n't                       		10.0           		0.001755618
n't taken                     		2.0            		3.511236E-4
taken a                       		2.0            		3.563792E-4
a formal                      		4.0            		6.4641243E-4
formal position               		2.0            		3.5650624E-4
position on                   		2.0            		3.557453E-4
on the                        		66.0           		0.011466296
the bill                      		7.0            		9.948835E-4
bill ,                        		2.0            		3.5612535E-4
, which                       		38.0           		0.0049803406
which would                   		3.0            		5.3069164E-4
would also                    		5.0            		8.7842584E-4
also require                  		2.0            		3.5323208E-4
require investors             		2.0            		3.566334E-4
investors to                  		2.0            		3.5593522E-4
to disclose                   		2.0            		3.197442E-4
disclose large                		2.0            		3.5669698E-4
large trades                  		2.0            		3.5669698E-4
trades and                    		2.0            		3.5669698E-4
and give                      		2.0            		3.1831927E-4
give the                      		6.0            		0.0010679957
the SEC                       		4.0            		5.6850485E-4
SEC additional                		2.0            		3.5625222E-4
additional authority          		2.0            		3.557453E-4
authority during              		2.0            		3.565698E-4
during market                 		2.0            		3.564427E-4
market emergencies            		2.0            		3.5391966E-4
emergencies .                 		2.0            		3.5669698E-4
. And                         		8.0            		0.0012112036
And ,                         		4.0            		7.1250444E-4
, with                        		10.0           		0.001310616
with no                       		3.0            		5.249344E-4
no other                      		2.0            		3.5555556E-4
other offers                  		2.0            		3.5454705E-4
offers on                     		2.0            		3.564427E-4
on the                        		66.0           		0.011466296
the table                     		3.0            		4.2637862E-4
table ,                       		2.0            		3.566334E-4
, the                         		112.0          		0.014678899
the board                     		145.0          		0.0206083
board apparently              		2.0            		3.3489618E-4
apparently felt               		2.0            		3.5669698E-4
felt no                       		2.0            		3.565698E-4
no pressure                   		2.0            		3.5555556E-4
pressure to                   		4.0            		7.126314E-4
to act                        		2.0            		3.197442E-4
act on                        		2.0            		3.566334E-4
on it                         		2.0            		3.4746353E-4
it .                          		9.0            		0.0015778401
. In                          		39.0           		0.0059046177
In a                          		12.0           		0.0021238937
a statement                   		13.0           		0.0021008404
statement ,                   		6.0            		0.0010672358
, Craig                       		2.0            		2.621232E-4
Craig O.                      		2.0            		3.5669698E-4
O. McCaw                      		2.0            		3.563157E-4
McCaw ,                       		3.0            		5.345688E-4
, chairman                    		188.0          		0.02463958
chairman and                  		141.0          		0.02288961
and chief                     		158.0          		0.025147222
chief executive               		165.0          		0.028467909
executive officer             		115.0          		0.019844694
officer of                    		47.0           		0.008186727
of McCaw                      		2.0            		3.056235E-4
McCaw ,                       		3.0            		5.345688E-4
, said                        		101.0          		0.013237221
said :                        		7.0            		0.0011890606
: ``                          		13.0           		0.0023082385
`` We                         		14.0           		0.0023915272
We trust                      		2.0            		3.557453E-4
trust LIN                     		2.0            		3.5650624E-4
LIN will                      		2.0            		3.564427E-4
will take                     		4.0            		6.993007E-4
take no                       		2.0            		3.557453E-4
no further                    		2.0            		3.5555556E-4
further actions               		2.0            		3.5625222E-4
actions that                  		2.0            		3.564427E-4
that favor                    		2.0            		3.411223E-4
favor BellSouth               		2.0            		3.565698E-4
BellSouth .                   		2.0            		3.5669698E-4
. ''                          		65.0           		0.0098410295
'' Meanwhile                  		2.0            		3.4211428E-4
Meanwhile ,                   		6.0            		0.001069328
, in                          		16.0           		0.0020969857
in another                    		2.0            		3.352892E-4
another sign                  		2.0            		3.558719E-4
sign that                     		2.0            		3.5669698E-4
that a                        		5.0            		8.5280574E-4
a new                         		21.0           		0.0033936652
new bid                       		4.0            		7.0521864E-4
bid is                        		2.0            		3.549246E-4
is n't                        		16.0           		0.002761954
n't imminent                  		2.0            		3.511236E-4
imminent ,                    		2.0            		3.566334E-4
, it                          		13.0           		0.0017038007
it was                        		16.0           		0.002805049
was learned                   		2.0            		3.459609E-4
learned that                  		3.0            		5.348547E-4
that the                      		53.0           		0.009039741
the UAL                       		15.0           		0.002131893
UAL board                     		16.0           		0.002833363
board held                    		2.0            		3.3489618E-4
held a                        		2.0            		3.563157E-4
a telephone                   		2.0            		3.2320622E-4
telephone meeting             		2.0            		3.5650624E-4
meeting Monday                		3.0            		5.3304905E-4
Monday to                     		3.0            		5.3409295E-4
to hear                       		3.0            		4.796163E-4
hear an                       		2.0            		3.566334E-4
an update                     		2.0            		3.51803E-4
update on                     		2.0            		3.5669698E-4
on the                        		66.0           		0.011466296
the situation                 		3.0            		4.2637862E-4
situation ,                   		2.0            		3.5650624E-4
, but                         		25.0           		0.00327654
but that                      		2.0            		3.5454705E-4
that a                        		5.0            		8.5280574E-4
a formal                      		4.0            		6.4641243E-4
formal board                  		2.0            		3.5650624E-4
board meeting                 		11.0           		0.001841929
meeting is                    		2.0            		3.5536604E-4
is n't                        		16.0           		0.002761954
n't likely                    		4.0            		7.022472E-4
likely to                     		7.0            		0.001247105
to be                         		29.0           		0.004636291
be convened                   		2.0            		3.500175E-4
convened until                		2.0            		3.5669698E-4
until early                   		3.0            		5.3352304E-4
early next                    		4.0            		7.1199716E-4
next week                     		2.0            		3.5549235E-4
week .                        		4.0            		7.114906E-4
. But                         		27.0           		0.0040878123
But the                       		7.0            		0.001242236
the board                     		145.0          		0.0206083
board said                    		10.0           		0.001674481
said it                       		21.0           		0.003567182
it was                        		16.0           		0.002805049
was n't                       		7.0            		0.0012108631
n't interested                		2.0            		3.511236E-4
interested for                		2.0            		3.5650624E-4
for now                       		4.0            		6.942034E-4
now .                         		5.0            		8.8952144E-4
. ``                          		94.0           		0.014231643
`` The                        		24.0           		0.0040997607
The market                    		2.0            		3.4734284E-4
market today                  		2.0            		3.5391966E-4
today has                     		2.0            		3.5618877E-4
has a                         		6.0            		0.0010533708
a life                        		4.0            		6.4641243E-4
life of                       		3.0            		5.34664E-4
of its                        		30.0           		0.004584352
its own                       		5.0            		8.718396E-4
own ,                         		3.0            		5.3409295E-4
, ''                          		116.0          		0.015203145
'' John                       		2.0            		3.4211428E-4
John Akers                    		2.0            		3.5404495E-4
Akers ,                       		2.0            		3.5669698E-4
, chairman                    		188.0          		0.02463958
chairman of                   		226.0          		0.036688313
of International              		3.0            		4.584352E-4
International Business        		4.0            		7.1199716E-4
Business Machines             		4.0            		7.1250444E-4
Machines Corp.                		3.0            		5.348547E-4
Corp. ,                       		38.0           		0.0067066713
, said                        		101.0          		0.013237221
said Saturday                 		2.0            		3.397316E-4
Saturday .                    		2.0            		3.5669698E-4
